,Gender,Age Group,Ethnicity,Country,Diversity Issue,Microaggressions,Paid Parental Leave,Salary Parity,Technical Skills,New Team Addition,Recruiting Technologists,Overload of Projects,Educational Background,Self-study,Mentorship,Non-technical,Primary Role,Skills Sources
0,m,1,,0,0,0,1,0,1,0,0,0,0,1,0,0,0,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
1,m,2,,0,0,1,0,0,0,0,0,0,1,0,1,,1,Mentored by another professional
2,m,3,1,1,,0,,,1,,,,1,1,0,0,1,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
3,f,2,,0,0,0,,,0,,,,0,1,1,1,3,"Self-taught (e.g. studied on my own),Mentored by another professional,Undergraduate degree,Graduate school degree,Past and current on-the-job training/learning"
4,f,2,8,1,1,0,,,,,,,1,1,1,0,2,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
5,f,1,4,1,,1,1,1,0,0,0,1,0,1,1,0,3,"Self-taught (e.g. studied on my own),Mentored by another professional,Undergraduate degree,Past and current on-the-job training/learning"
6,m,2,,0,0,0,,,0,,,,1,1,0,0,3,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
7,f,3,1,1,0,0,,,1,,,,0,1,1,0,1,"Self-taught (e.g. studied on my own),Mentored by another professional,Undergraduate degree,Past and current on-the-job training/learning"
8,,1,8,1,1,1,0,0,0,0,0,0,1,1,0,0,0,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
9,m,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,2,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
10,m,2,,0,0,0,,,,,,,1,0,1,0,0,"Mentored by another professional,Undergraduate degree,Past and current on-the-job training/learning"
11,m,1,8,1,1,0,0,0,0,,0,1,0,0,0,0,0,"Undergraduate degree,Past and current on-the-job training/learning"
12,m,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,"Mentored by another professional,Past and current on-the-job training/learning"
13,m,3,1,1,0,0,1,1,1,1,1,1,1,1,1,1,3,"Self-taught (e.g. studied on my own),Mentored by another professional,Graduate school degree,Past and current on-the-job training/learning"
14,m,3,,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
15,m,2,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
16,m,1,9,1,,0,,,1,,,,0,1,0,0,0,"Self-taught (e.g. studied on my own),Undergraduate degree"
17,f,3,1,1,1,0,,,,,,,1,0,1,1,1,"Mentored by another professional,Graduate school degree"
18,m,3,,0,0,0,,,1,,,,0,1,0,0,3,Self-taught (e.g. studied on my own)
19,m,3,1,1,0,0,,,1,,,,0,1,1,1,1,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
20,m,2,,0,0,0,,,1,,,,1,1,0,1,1,"Self-taught (e.g. studied on my own),Graduate school degree,Past and current on-the-job training/learning"
21,m,2,1,1,,0,1,0,,,0,1,1,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
22,f,3,,0,0,1,0,0,1,1,1,1,1,0,1,1,3,"Mentored by another professional,Past and current on-the-job training/learning"
23,m,3,1,1,0,1,0,0,1,,0,0,1,1,0,0,1,Self-taught (e.g. studied on my own)
24,f,3,3,1,0,0,1,0,1,1,1,0,1,1,0,0,0,"Self-taught (e.g. studied on my own),Undergraduate degree,Graduate school degree,Past and current on-the-job training/learning"
25,f,3,8,1,,1,0,0,1,1,0,1,1,1,1,1,1,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
26,m,2,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
27,f,2,4,1,1,1,1,0,,1,0,1,0,1,1,0,2,"Self-taught (e.g. studied on my own),Mentored by another professional"
28,f,1,1,1,,0,,,,,,,0,0,1,0,3,"Mentored by another professional,Past and current on-the-job training/learning"
29,f,2,,0,0,0,1,0,1,1,0,1,1,1,0,1,1,"Self-taught (e.g. studied on my own),Graduate school degree,Past and current on-the-job training/learning"
30,f,1,,0,0,1,0,0,1,0,0,0,0,1,0,0,1,"Self-taught (e.g. studied on my own),Undergraduate degree,Past and current on-the-job training/learning"
31,f,2,1,1,0,1,0,0,0,0,0,1,1,0,1,1,3,"Mentored by another professional,Past and current on-the-job training/learning"
32,m,1,1,1,,1,1,0,1,0,0,0,0,1,0,0,2,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
33,f,2,4,1,0,0,0,0,,1,0,0,0,1,0,0,0,"Self-taught (e.g. studied on my own),Graduate school degree,Past and current on-the-job training/learning"
34,m,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
35,n,2,,0,0,0,0,0,1,1,1,0,0,1,1,1,3,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
36,f,1,8,1,0,1,1,0,1,1,0,1,0,1,0,0,0,Self-taught (e.g. studied on my own)
37,f,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
38,m,2,,0,0,0,,,,,,,0,1,0,0,3,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
39,f,2,8,1,1,1,1,0,1,1,0,1,1,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
40,m,3,8,1,0,0,0,0,1,0,0,0,1,1,0,0,2,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
41,m,2,,0,,0,1,0,1,1,0,1,1,1,0,0,2,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
42,f,1,1,1,1,0,,,1,,,,1,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
43,m,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree,Past and current on-the-job training/learning"
44,m,1,1,1,,0,1,1,,,1,1,1,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
45,m,2,1,1,0,0,1,0,,1,1,1,1,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
46,m,2,2,1,1,1,1,0,1,1,0,0,0,1,1,0,2,"Self-taught (e.g. studied on my own),Mentored by another professional,Graduate school degree,Past and current on-the-job training/learning"
47,f,3,1,1,1,0,,,1,,,,1,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
48,f,2,,0,0,1,0,0,1,1,1,1,1,1,1,0,2,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
49,m,2,,0,0,0,1,1,1,1,1,1,1,1,0,0,0,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
50,f,3,,0,1,0,,,1,,,,1,1,0,,3,Self-taught (e.g. studied on my own)
51,f,2,,0,0,0,,,1,,,,1,1,0,0,0,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
52,m,1,,0,0,0,0,0,1,1,1,1,0,1,0,1,3,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
53,m,1,,0,,0,,,,,,,0,1,0,0,0,"Self-taught (e.g. studied on my own),Undergraduate degree,Graduate school degree"
54,m,3,1,1,,0,,,1,,,,1,1,0,0,0,"Self-taught (e.g. studied on my own),Undergraduate degree"
55,m,2,9,1,,0,1,0,0,,1,0,1,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
56,m,2,,0,0,0,,,1,,,,1,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional,Graduate school degree"
57,m,3,,0,,0,,,,,,,1,0,1,0,1,"Mentored by another professional,Graduate school degree,Past and current on-the-job training/learning"
58,m,1,1,1,,1,0,0,1,,0,1,1,1,1,1,3,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
59,f,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,3,"Self-taught (e.g. studied on my own),Mentored by another professional,Undergraduate degree,Past and current on-the-job training/learning"
60,m,2,1,1,0,0,1,0,0,1,1,1,1,1,0,0,3,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
61,f,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
62,m,1,,0,0,0,,,1,,,,0,1,0,1,3,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
63,m,2,1,1,1,0,0,0,1,,0,1,0,1,0,0,1,"Self-taught (e.g. studied on my own),Graduate school degree,Past and current on-the-job training/learning"
64,f,2,,0,0,1,1,1,1,0,0,1,0,1,0,1,1,Self-taught (e.g. studied on my own)
65,f,2,1,1,,0,,,0,,,,1,1,1,1,3,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
66,m,1,,0,0,0,0,1,,1,1,0,0,1,0,0,2,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
